492	508	1
507	488	1
513	497	1
519	497	1
504	496	1
509	484	1
497	497	1
492	505	1
494	498	1
504	483	1
502	512	1
488	485	1
484	498	1
510	498	1
492	486	1
488	493	1
514	503	1
497	483	1
502	507	1
498	503	1
508	482	1
499	493	1
498	507	1
505	528	1
493	488	1
507	502	1
489	487	1
503	479	1
493	493	1
513	520	1
506	496	1
501	500	1
484	505	1
497	487	1
466	501	1
488	505	1
495	502	1
512	531	1
508	502	1
485	501	1
504	493	1
507	498	1
481	488	1
488	514	1
510	506	1
492	484	1
514	479	1
481	501	1
510	504	1
508	489	1
499	496	1
512	486	1
494	490	1
497	499	1
487	497	1
493	503	1
514	489	1
498	500	1
516	494	1
492	502	3
504	490	3
495	512	3
481	496	3
507	529	3
506	513	3
522	505	3
496	497	3
477	510	3
510	505	3
489	517	3
500	497	3
510	481	3
506	493	3
493	485	3
511	518	3
522	496	3
480	498	3
500	499	3
496	491	3
497	504	3
488	504	3
509	486	3
490	495	3
506	501	3
517	466	3
503	503	3
487	511	3
498	474	3
515	492	3
499	499	3
513	486	3
499	492	3
480	490	3
497	502	3
485	491	3
497	492	3
501	510	3
498	473	3
513	519	3
500	521	3
513	497	3
495	496	3
514	490	3
492	486	3
505	483	3
512	518	3
614	601	3
598	605	3
586	598	3
608	601	3
596	591	3
593	583	3
585	605	3
591	619	3
605	602	3
621	597	3
589	595	3
594	603	3
628	596	3
589	601	3
583	596	3
602	614	3
616	603	3
597	589	2
610	600	2
608	610	2
591	591	2
611	590	2
588	610	2
605	609	2
613	599	2
601	599	2
603	576	2
608	623	2
596	601	2
589	613	2
587	598	2
599	587	2
601	615	2
610	594	2
608	591	2
591	591	2
602	602	2
593	594	2
600	606	2
592	616	2
599	592	2
578	605	2
593	588	2
588	596	2
587	595	2
600	610	2
606	589	2
594	609	2
588	608	2
594	615	2
594	588	2
605	607	2
593	609	2
589	596	2
595	603	2
605	615	2
600	601	2
604	605	2
587	605	2
584	605	2
606	590	2
596	597	2
603	613	2
597	592	2
598	586	2
601	603	2
611	599	2
607	621	2
596	594	2
597	601	2
615	602	2
593	618	2
588	593	2
607	587	2
595	612	2
585	616	2
593	587	2
601	607	2
595	598	2
598	587	2
586	594	2
599	613	2
595	625	2
611	600	2
597	610	2
590	612	2
599	605	2
614	589	2
613	590	2
569	608	2
597	599	2
593	586	2
588	607	2
597	587	2
605	598	2
