492	508	509	511	499	514	1
507	488	481	507	495	477	1
513	497	487	501	506	497	1
519	497	490	512	496	493	1
504	496	503	520	503	473	1
509	484	525	492	511	502	1
497	497	503	493	493	518	1
492	505	501	497	499	513	1
494	498	508	509	499	486	1
504	483	489	500	505	504	1
502	512	505	490	498	523	1
488	485	503	515	497	488	1
484	498	497	510	498	492	1
510	498	498	511	496	505	1
492	486	485	499	510	504	1
488	493	497	492	501	495	1
514	503	488	497	505	501	1
497	483	498	501	500	491	1
502	507	508	494	513	489	1
498	503	483	504	507	499	1
508	482	514	490	507	502	1
499	493	480	491	506	495	1
498	507	487	518	503	483	1
505	528	496	511	502	492	1
493	488	501	493	488	497	1
507	502	495	490	496	493	1
489	487	499	498	481	516	1
503	479	513	514	494	514	1
493	493	478	501	489	501	1
513	520	509	504	490	497	1
506	496	506	482	505	494	1
501	500	505	488	497	487	1
484	505	507	491	488	497	1
497	487	502	491	491	499	1
466	501	508	498	485	493	1
488	505	502	514	503	515	1
495	502	493	495	503	519	1
512	531	499	494	493	501	1
508	502	492	505	504	504	1
485	501	507	510	496	500	1
504	493	494	507	486	490	1
507	498	492	505	500	494	1
481	488	497	477	525	507	1
488	514	495	484	509	512	1
510	506	517	473	498	491	1
492	484	491	491	489	489	1
514	479	493	478	510	513	1
481	501	502	487	501	477	1
510	504	505	493	502	479	1
508	489	503	481	518	510	1
499	496	492	497	505	511	1
512	486	502	500	488	504	1
494	490	495	497	491	500	1
497	499	504	485	489	491	1
487	497	500	498	502	488	1
493	503	503	513	503	504	1
514	489	509	487	512	500	1
498	500	480	487	492	481	1
516	494	494	486	498	505	1
492	502	488	482	498	502	3
504	490	509	493	497	510	3
495	512	497	511	506	487	3
481	496	469	507	520	512	3
507	529	497	507	488	502	3
506	513	488	513	508	496	3
522	505	493	503	500	497	3
496	497	503	497	501	502	3
477	510	492	500	521	498	3
510	505	515	496	511	508	3
489	517	506	490	508	506	3
500	497	511	472	495	516	3
510	481	493	499	499	505	3
506	493	498	496	510	502	3
493	485	504	501	505	500	3
511	518	505	495	498	509	3
522	496	490	505	515	503	3
480	498	498	499	496	497	3
500	499	488	492	497	494	3
496	491	509	511	517	490	3
497	504	502	504	484	515	3
488	504	508	492	495	502	3
509	486	494	510	500	502	3
490	495	496	498	496	494	3
506	501	511	508	509	498	3
517	466	490	496	485	494	3
503	503	508	482	517	484	3
487	511	488	487	495	508	3
498	474	501	481	517	518	3
515	492	497	499	498	515	3
499	499	486	492	493	510	3
513	486	513	493	502	512	3
499	492	499	496	511	483	3
480	490	505	479	505	527	3
497	502	493	472	501	504	3
485	491	501	490	509	506	3
497	492	492	492	512	496	3
501	510	505	505	519	497	3
498	473	498	490	500	490	3
513	519	509	497	496	506	3
500	521	494	492	499	507	3
513	497	485	511	506	495	3
495	496	503	505	498	478	3
514	490	488	491	510	487	3
492	486	493	490	493	488	3
505	483	524	484	506	493	3
512	518	505	490	517	501	3
614	601	607	587	597	584	3
598	605	608	608	590	605	3
586	598	619	601	588	601	3
608	601	587	590	610	600	3
596	591	581	592	601	584	3
593	583	619	603	605	597	3
585	605	601	621	604	591	3
591	619	608	602	614	582	3
605	602	599	597	602	602	3
621	597	602	607	587	608	3
589	595	607	595	593	608	3
594	603	601	603	594	608	3
628	596	593	626	609	584	3
589	601	595	594	583	602	3
583	596	614	618	615	610	3
602	614	576	591	613	592	3
616	603	601	597	601	589	3
597	589	604	592	594	600	2
610	600	606	591	595	599	2
608	610	577	600	623	600	2
591	591	595	602	589	625	2
611	590	594	591	591	603	2
588	610	601	605	592	605	2
605	609	589	615	576	600	2
613	599	596	606	604	613	2
601	599	594	583	598	596	2
603	576	583	598	588	602	2
608	623	593	594	612	594	2
596	601	590	604	598	601	2
589	613	613	602	589	609	2
587	598	612	613	599	616	2
599	587	602	590	611	597	2
601	615	597	603	598	600	2
610	594	607	603	600	577	2
608	591	605	593	590	601	2
591	591	606	595	605	590	2
602	602	604	598	608	604	2
593	594	601	591	606	586	2
600	606	601	596	600	617	2
592	616	596	603	601	610	2
599	592	597	602	601	595	2
578	605	591	599	617	599	2
593	588	592	605	615	580	2
588	596	596	614	595	589	2
587	595	599	612	599	585	2
600	610	608	594	606	590	2
606	589	597	605	608	610	2
594	609	596	587	603	610	2
588	608	600	607	596	613	2
594	615	600	579	613	604	2
594	588	600	612	591	595	2
605	607	590	589	583	612	2
593	609	616	623	600	603	2
589	596	598	603	607	614	2
595	603	617	603	591	594	2
605	615	603	593	626	585	2
600	601	605	598	602	609	2
604	605	602	605	602	586	2
587	605	602	595	601	612	2
584	605	594	587	595	602	2
606	590	618	597	601	611	2
596	597	606	599	607	600	2
603	613	599	603	604	599	2
597	592	601	588	592	603	2
598	586	589	597	599	604	2
601	603	609	605	592	591	2
611	599	605	597	602	597	2
607	621	601	610	584	600	2
596	594	606	611	591	599	2
597	601	584	598	589	600	2
615	602	603	597	610	603	2
593	618	595	598	599	589	2
588	593	602	588	604	623	2
607	587	596	608	592	607	2
595	612	581	602	596	613	2
585	616	596	591	620	593	2
593	587	589	588	587	600	2
601	607	588	596	595	606	2
595	598	602	596	594	608	2
598	587	610	592	585	615	2
586	594	628	593	601	592	2
599	613	600	595	596	602	2
595	625	595	587	601	610	2
611	600	597	583	594	590	2
597	610	580	589	586	607	2
590	612	622	597	609	607	2
599	605	605	598	589	585	2
614	589	614	595	616	594	2
613	590	585	607	599	615	2
569	608	600	601	616	600	2
597	599	607	597	599	586	2
593	586	602	591	591	607	2
588	607	603	615	613	600	2
597	587	598	621	600	602	2
605	598	587	602	607	591	2
