492	508	509	511	1
507	488	481	507	1
513	497	487	501	1
519	497	490	512	1
504	496	503	520	1
509	484	525	492	1
497	497	503	493	1
492	505	501	497	1
494	498	508	509	1
504	483	489	500	1
502	512	505	490	1
488	485	503	515	1
484	498	497	510	1
510	498	498	511	1
492	486	485	499	1
488	493	497	492	1
514	503	488	497	1
497	483	498	501	1
502	507	508	494	1
498	503	483	504	1
508	482	514	490	1
499	493	480	491	1
498	507	487	518	1
505	528	496	511	1
493	488	501	493	1
507	502	495	490	1
489	487	499	498	1
503	479	513	514	1
493	493	478	501	1
513	520	509	504	1
506	496	506	482	1
501	500	505	488	1
484	505	507	491	1
497	487	502	491	1
466	501	508	498	1
488	505	502	514	1
495	502	493	495	1
512	531	499	494	1
508	502	492	505	1
485	501	507	510	1
504	493	494	507	1
507	498	492	505	1
481	488	497	477	1
488	514	495	484	1
510	506	517	473	1
492	484	491	491	1
514	479	493	478	1
481	501	502	487	1
510	504	505	493	1
508	489	503	481	1
499	496	492	497	1
512	486	502	500	1
494	490	495	497	1
497	499	504	485	1
487	497	500	498	1
493	503	503	513	1
514	489	509	487	1
498	500	480	487	1
516	494	494	486	1
492	502	488	482	3
504	490	509	493	3
495	512	497	511	3
481	496	469	507	3
507	529	497	507	3
506	513	488	513	3
522	505	493	503	3
496	497	503	497	3
477	510	492	500	3
510	505	515	496	3
489	517	506	490	3
500	497	511	472	3
510	481	493	499	3
506	493	498	496	3
493	485	504	501	3
511	518	505	495	3
522	496	490	505	3
480	498	498	499	3
500	499	488	492	3
496	491	509	511	3
497	504	502	504	3
488	504	508	492	3
509	486	494	510	3
490	495	496	498	3
506	501	511	508	3
517	466	490	496	3
503	503	508	482	3
487	511	488	487	3
498	474	501	481	3
515	492	497	499	3
499	499	486	492	3
513	486	513	493	3
499	492	499	496	3
480	490	505	479	3
497	502	493	472	3
485	491	501	490	3
497	492	492	492	3
501	510	505	505	3
498	473	498	490	3
513	519	509	497	3
500	521	494	492	3
513	497	485	511	3
495	496	503	505	3
514	490	488	491	3
492	486	493	490	3
505	483	524	484	3
512	518	505	490	3
614	601	607	587	3
598	605	608	608	3
586	598	619	601	3
608	601	587	590	3
596	591	581	592	3
593	583	619	603	3
585	605	601	621	3
591	619	608	602	3
605	602	599	597	3
621	597	602	607	3
589	595	607	595	3
594	603	601	603	3
628	596	593	626	3
589	601	595	594	3
583	596	614	618	3
602	614	576	591	3
616	603	601	597	3
597	589	604	592	2
610	600	606	591	2
608	610	577	600	2
591	591	595	602	2
611	590	594	591	2
588	610	601	605	2
605	609	589	615	2
613	599	596	606	2
601	599	594	583	2
603	576	583	598	2
608	623	593	594	2
596	601	590	604	2
589	613	613	602	2
587	598	612	613	2
599	587	602	590	2
601	615	597	603	2
610	594	607	603	2
608	591	605	593	2
591	591	606	595	2
602	602	604	598	2
593	594	601	591	2
600	606	601	596	2
592	616	596	603	2
599	592	597	602	2
578	605	591	599	2
593	588	592	605	2
588	596	596	614	2
587	595	599	612	2
600	610	608	594	2
606	589	597	605	2
594	609	596	587	2
588	608	600	607	2
594	615	600	579	2
594	588	600	612	2
605	607	590	589	2
593	609	616	623	2
589	596	598	603	2
595	603	617	603	2
605	615	603	593	2
600	601	605	598	2
604	605	602	605	2
587	605	602	595	2
584	605	594	587	2
606	590	618	597	2
596	597	606	599	2
603	613	599	603	2
597	592	601	588	2
598	586	589	597	2
601	603	609	605	2
611	599	605	597	2
607	621	601	610	2
596	594	606	611	2
597	601	584	598	2
615	602	603	597	2
593	618	595	598	2
588	593	602	588	2
607	587	596	608	2
595	612	581	602	2
585	616	596	591	2
593	587	589	588	2
601	607	588	596	2
595	598	602	596	2
598	587	610	592	2
586	594	628	593	2
599	613	600	595	2
595	625	595	587	2
611	600	597	583	2
597	610	580	589	2
590	612	622	597	2
599	605	605	598	2
614	589	614	595	2
613	590	585	607	2
569	608	600	601	2
597	599	607	597	2
593	586	602	591	2
588	607	603	615	2
597	587	598	621	2
605	598	587	602	2
